ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
4459,Mercedes C 230,1997,2.3,Benzin,193.0,Avtomat,Arxa,262314,10 900 AZN
4460,Mercedes ML 300 4MATIC,2013,3.0,Benzin,333.0,Avtomat,Tam,154000,27 000 USD
4461,Ford Transit,2009,2.4,Dizel,140.0,Mexaniki,Arxa,430000,21 800 AZN
4462,Kia K3,2016,1.6,Dizel,128.0,Robot,Ön,91700,25 500 AZN
4463,Mercedes E 220 d,2006,2.2,Dizel,170.0,Avtomat,Arxa,320,21 000 AZN
4464,Nissan Patrol,2017,5.6,Benzin,405.0,Avtomat,Tam,74000,65 000 USD
4465,Mercedes C 180,1995,1.8,Benzin,129.0,Avtomat,Arxa,280000,5 000 AZN
4466,Changan Qiyuan A05,2023,1.5,Plug-in Hibrid,190.0,Avtomat,Ön,0,18 989 USD
4467,Geely Emgrand,2024,1.5,Benzin,125.0,Avtomat,Ön,0,34 900 AZN
4468,Land Rover Range Rover,2023,3.0,Benzin,400.0,Avtomat,Tam,0,207 500 USD
4469,Lexus GX 470,2005,4.7,Benzin,273.0,Avtomat,Tam,304166,27 799 AZN
4470,Kia K3,2014,1.6,Dizel,130.0,Avtomat,Ön,163000,23 000 AZN
4471,Opel Astra,2007,1.3,Dizel,90.0,Mexaniki,Ön,217000,12 550 AZN
4472,Land Rover Discovery,2018,3.0,Dizel,249.0,Avtomat,Tam,108000,45 000 USD
4473,Kia Sorento,2012,2.0,Dizel,184.0,Avtomat,Ön,132000,37 000 AZN
4474,Kia Sorento,2017,2.0,Dizel,184.0,Avtomat,Ön,220000,34 800 AZN
4475,GWM Voleex C30,2012,1.5,Benzin,106.0,Mexaniki,Ön,250000,7 200 AZN
4476,Nissan Patrol,2006,4.8,Benzin,245.0,Avtomat,Tam,286000,28 000 AZN
4477,Mercedes E 220 d,2006,2.2,Dizel,170.0,Avtomat,Arxa,320,21 000 AZN
4478,Nissan Patrol,2017,5.6,Benzin,405.0,Avtomat,Tam,74000,65 000 USD
4479,Volkswagen Passat,2005,2.0,Benzin,210.0,Avtomat,Ön,275582,7 900 AZN
4480,Toyota Corolla,2005,1.4,Dizel,90.0,Mexaniki,Ön,308209,15 600 AZN
4481,Hyundai Grandeur,2012,2.4,Benzin,180.0,Avtomat,Ön,177000,26 500 AZN
4482,Ford Transit,2007,2.4,Dizel,115.0,Mexaniki,Arxa,122000,36 400 AZN
4483,Porsche Cayenne S,2009,3.6,Benzin,290.0,Avtomat,Tam,77000,22 500 USD
4484,Toyota Camry,2012,2.5,Benzin,181.0,Avtomat,Ön,163000,24 900 AZN
4485,Mercedes S 500 4MATIC,2015,4.7,Benzin,455.0,Avtomat,Tam,55000,66 000 USD
4486,Hyundai Santa Fe,2017,2.0,Dizel,150.0,Avtomat,Ön,164000,36 900 AZN
4487,Kia Picanto,2011,1.3,Benzin,85.0,Avtomat,Ön,131000,13 400 AZN
4488,Toyota Land Cruiser,2018,4.6,Benzin,309.0,Avtomat,Tam,61000,77 000 USD
4489,Land Rover RR Evoque,2014,2.0,Benzin,240.0,Avtomat,Tam,51000,26 500 USD
4490,Hyundai Elantra,2018,2.0,Benzin,150.0,Avtomat,Ön,58000,25 700 AZN
4491,LADA (VAZ) Priora,2017,1.6,Benzin,106.0,Mexaniki,Ön,148000,13 400 AZN
4492,Mercedes C 200,1995,2.0,Benzin,136.0,Avtomat,Arxa,340000,9 500 AZN
4493,Kia Sportage,2016,2.0,Dizel,185.0,Avtomat,Ön,86000,33 900 AZN
4494,Hyundai Accent,2019,1.4,Benzin,107.0,Avtomat,Ön,140600,20 300 AZN
4495,Kia Sorento,2015,2.0,Benzin,265.0,Avtomat,Tam,173000,28 500 AZN
4496,Ford Fusion (North America),2015,2.0,Hibrid,245.0,Avtomat,Ön,79000,28 445 AZN
4497,Land Rover Discovery,2015,2.0,Benzin,240.0,Avtomat,Tam,122000,37 000 AZN
4498,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,228200,13 900 AZN
4499,Land Rover RR Velar,2021,2.0,Benzin,250.0,Avtomat,Tam,28000,64 200 USD
4500,Toyota Highlander,2022,2.5,Hibrid,249.0,Avtomat,Tam,0,46 500 USD
4501,Mercedes E 300 e 4MATIC,2023,2.0,Plug-in Hibrid,320.0,Avtomat,Tam,0,95 500 USD
4502,XPeng G9,2023,,Elektro,551.0,Reduktor,Tam,0,58 900 USD
4503,Land Rover RR Sport,2015,3.0,Dizel,258.0,Avtomat,Tam,140000,36 900 USD
4504,Volkswagen Tayron,2023,1.4,Plug-in Hibrid,218.0,Avtomat,Ön,0,62 900 AZN
4505,Ferrari California,2016,3.9,Benzin,560.0,Avtomat,Arxa,9100,185 000 USD
4506,Lexus UX 250h,2023,2.0,Hibrid,181.0,Avtomat,Ön,1480,39 000 USD
4507,Kia Sportage,2016,2.0,Dizel,185.0,Avtomat,Ön,145000,32 300 AZN
4508,DAF 105 XF,2008,12.0,Dizel,420.0,Avtomat,Arxa,1100000,29 700 AZN
4509,GAC Trumpchi GS5,2015,2.0,Benzin,175.0,Avtomat,Ön,150000,14 900 AZN
4510,Land Rover RR Sport,2017,3.0,Benzin,380.0,Avtomat,Tam,74000,53 500 USD
4511,HOWO Sinotruk,2011,12.0,Dizel,450.0,Mexaniki,Tam,168000,78 000 AZN
4512,Land Rover Range Rover,2019,5.0,Benzin,525.0,Avtomat,Tam,24000,127 000 USD
4513,Toyota Highlander,2022,2.5,Hibrid,249.0,Avtomat,Tam,0,46 500 USD
4514,Land Rover Range Rover,2014,5.0,Benzin,510.0,Avtomat,Tam,95000,55 500 USD
4515,Chevrolet Cruze,2014,1.4,Benzin,141.0,Avtomat,Ön,140001,14 400 AZN
4516,Mercedes C 250,2005,2.5,Benzin,204.0,Avtomat,Arxa,335000,14 500 AZN
4517,Citroen C5 Aircross,2023,2.0,Dizel,180.0,Avtomat,Ön,0,39 900 USD
4518,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,122000,14 500 AZN
4519,Ford Transit,2011,2.2,Dizel,140.0,Mexaniki,Ön,178000,26 400 AZN
4520,Land Rover Range Rover,2023,3.0,Benzin,400.0,Avtomat,Tam,0,210 000 USD
4521,Land Rover Range Rover,2020,3.0,Benzin,360.0,Avtomat,Tam,49800,129 000 USD
4522,Mercedes V 300,2012,3.5,Benzin,258.0,Avtomat,Arxa,90000,38 000 USD
4523,Land Rover Range Rover,2013,3.0,Dizel,306.0,Avtomat,Tam,294500,45 500 USD
4524,Porsche Cayenne GTS,2016,3.6,Benzin,440.0,Avtomat,Tam,81000,56 300 USD
4525,SEAT Leon,2012,1.8,Benzin,180.0,Avtomat,Ön,135000,9 900 AZN
4526,Hyundai Sonata,2009,2.4,Benzin,174.0,Avtomat,Ön,192000,21 300 AZN
4527,BMW 328,2014,2.0,Benzin,245.0,Avtomat,Tam,162000,25 900 AZN
4528,Hyundai Elantra,2012,1.8,Benzin,150.0,Avtomat,Ön,162000,17 900 AZN
4529,LADA (VAZ) 2106,1996,1.5,Benzin,65.0,Mexaniki,Arxa,99000,4 700 AZN
4530,Chery Tiggo 3,2012,1.8,Benzin,177.0,Avtomat,Ön,135600,11 300 AZN
4531,Land Rover Discovery,2011,3.0,Dizel,249.0,Avtomat,Tam,173000,39 500 AZN
4532,BMW 528,2014,2.0,Benzin,245.0,Avtomat,Arxa,112000,30 900 AZN
4533,Opel Astra,2006,1.4,Benzin,90.0,Mexaniki,Ön,200000,10 400 AZN
4534,Infiniti G25,2012,2.5,Benzin,222.0,Avtomat,Ön,170000,19 900 AZN
4535,Toyota Land Cruiser,2013,4.0,Benzin,282.0,Avtomat,Tam,91000,38 000 USD
4536,Infiniti FX35,2012,3.5,Benzin,303.0,Avtomat,Tam,158000,21 000 USD
4537,Kia Optima,2014,2.0,Benzin,170.0,Avtomat,Ön,182000,28 500 AZN
4538,Jaguar E-Pace,2023,2.0,Benzin,200.0,Avtomat,Tam,0,76 900 USD
4539,Bestune T99,2022,2.0,Benzin,225.0,Avtomat,Ön,0,49 000 AZN
4540,Mercedes ML 350 4MATIC,2010,3.5,Dizel,306.0,Avtomat,Tam,303000,38 000 AZN
4541,Jeep Wrangler,2018,2.0,Benzin,272.0,Avtomat,Tam,110000,39 000 USD
4542,Mercedes Vito 113,2011,2.2,Dizel,136.0,Mexaniki,Arxa,243000,19 000 AZN
4543,Tesla Model S,2015,,Elektro,700.0,Reduktor,Tam,44387,35 000 USD
4544,Chevrolet Cruze,2013,1.4,Benzin,141.0,Avtomat,Ön,115000,11 000 AZN
4545,BMW 530,2018,2.0,Benzin,249.0,Avtomat,Arxa,78000,15 000 AZN
4546,Hyundai Santa Fe,2015,2.0,Dizel,184.0,Avtomat,Ön,240000,32 500 AZN
4547,BMW X5,2005,4.8,Benzin,360.0,Avtomat,Tam,152000,26 500 AZN
4548,Hyundai Elantra,2016,2.0,Benzin,150.0,Avtomat,Ön,123000,26 000 AZN
4549,Infiniti FX35,2012,3.5,Benzin,303.0,Avtomat,Tam,158000,21 000 USD
4550,Toyota Prius,2005,1.5,Hibrid,76.0,Variator,Ön,295000,11 700 AZN
4551,Hyundai Sonata,2014,2.4,Benzin,178.0,Avtomat,Ön,184000,24 900 AZN
4552,Mercedes C 220 d,2018,2.2,Dizel,170.0,Avtomat,Arxa,78200,29 500 USD
4553,Hyundai Tucson,2015,1.7,Dizel,141.0,Avtomat,Ön,142321,30 500 AZN
4554,GAZ Next А31R32,2023,2.8,Dizel,149.0,Mexaniki,Arxa,0,46 500 AZN
4555,Hyundai Tucson,2016,1.7,Dizel,141.0,Avtomat,Ön,154000,29 900 AZN
4556,Hyundai Elantra,2014,1.8,Benzin,150.0,Avtomat,Ön,417020,19 300 AZN
4557,Changan CS 15,2021,1.5,Benzin,143.0,Avtomat,Ön,79000,23 900 AZN
4558,LADA (VAZ) 2107,2009,1.6,Benzin,75.0,Mexaniki,Arxa,83000,5 800 AZN
4559,Kia Optima,2014,2.0,Benzin,274.0,Avtomat,Ön,168000,26 900 AZN
4560,Hyundai Sonata,2015,2.0,Benzin,245.0,Avtomat,Ön,83000,27 800 AZN
4561,Bestune T33,2019,1.6,Benzin,188.0,Avtomat,Ön,47370,25 900 AZN
4562,Toyota RAV4,2015,2.5,Benzin,180.0,Avtomat,Tam,157000,36 900 AZN
4563,Chery Tiggo 2,2019,1.5,Benzin,155.0,Avtomat,Ön,59080,17 900 AZN
