ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
5695,Hyundai Santa Fe,2008,2.0,Dizel,184.0,Avtomat,Arxa,256000,21 500 AZN
5696,Kia Sorento,2023,1.6,Hibrid,230.0,Avtomat,Ön,1400,49 700 USD
5697,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Tam,161000,42 700 AZN
5698,BMW X7,2021,3.0,Benzin,340.0,Avtomat,Tam,28000,100 000 USD
5699,Audi TT,2013,2.0,Benzin,211.0,Avtomat,Tam,65000,45 000 AZN
5700,Opel Astra,2007,1.3,Dizel,90.0,Mexaniki,Ön,296000,9 800 AZN
5701,BMW X5,2014,3.0,Benzin,306.0,Avtomat,Tam,149000,57 900 AZN
5702,Ford Transit,2007,2.4,Dizel,140.0,Mexaniki,Arxa,173000,27 500 AZN
5703,Ford Transit,2010,2.4,Dizel,140.0,Mexaniki,Arxa,295000,20 800 AZN
5704,LADA (VAZ) 2107,2004,1.6,Benzin,75.0,Mexaniki,Arxa,99000,4 600 AZN
5705,Nissan March,2016,1.2,Benzin,79.0,Avtomat,Ön,35000,13 800 AZN
5706,Hyundai Grandeur,2014,2.2,Dizel,202.0,Avtomat,Ön,195412,30 700 AZN
5707,Kanuni Nev 50,2023,0.1,Benzin,12.0,Avtomat,Arxa,3000,2 000 AZN
5708,Mercedes E 300 e,2021,2.0,Plug-in Hibrid,320.0,Avtomat,Arxa,15200,45 400 USD
5709,Kia Sorento,2009,2.0,Dizel,184.0,Avtomat,Ön,165000,27 500 AZN
5710,Mercedes G 63 AMG,2012,5.5,Benzin,550.0,Avtomat,Tam,110700,59 500 USD
5711,Hyundai Santa Fe,2009,2.7,Benzin,189.0,Avtomat,Tam,270000,23 000 AZN
5712,Mercedes C 240,1998,2.4,Benzin,170.0,Avtomat,Arxa,295000,12 800 AZN
5713,Mercedes Vito 113,2011,2.2,Dizel,136.0,Mexaniki,Arxa,243000,19 000 AZN
5714,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Ön,123000,42 000 AZN
5715,Kia Cerato,2009,1.6,Benzin,122.0,Avtomat,Ön,230000,14 900 AZN
5716,Fiat 500L,2013,1.4,Benzin,95.0,Avtomat,Ön,130000,16 800 AZN
5717,Ford Transit,2000,2.5,Dizel,76.0,Mexaniki,Arxa,390000,13 500 AZN
5718,Mercedes C 180,1995,1.8,Benzin,129.0,Avtomat,Arxa,358000,9 300 AZN
5719,Opel Astra,2009,1.3,Dizel,90.0,Mexaniki,Ön,165000,13 300 AZN
5720,Jeep Cherokee,2014,2.0,Dizel,170.0,Avtomat,Ön,158000,31 600 AZN
5721,Ford Transit,2008,2.2,Dizel,125.0,Mexaniki,Ön,179000,17 900 AZN
5722,Audi A6,2017,2.0,Benzin,252.0,Avtomat,Tam,65000,34 000 USD
5723,Ford Transit,2008,2.4,Dizel,140.0,Mexaniki,Arxa,160000,30 900 AZN
5724,ZEEKR 009,2024,,Elektro,544.0,Reduktor,Tam,0,77 500 USD
5725,Avatr 11,2023,,Elektro,578.0,Reduktor,Tam,0,57 000 USD
5726,Volvo XC90,2024,2.0,Hibrid,254.0,Avtomat,Tam,0,66 513 EUR
5727,Kia K7,2016,2.2,Dizel,202.0,Avtomat,Ön,172000,24 500 USD
5728,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Ön,271500,36 000 AZN
5729,Ford Transit,2002,2.0,Dizel,100.0,Mexaniki,Ön,366000,15 700 AZN
5730,Land Rover Discovery,2014,3.0,Benzin,340.0,Avtomat,Tam,127000,26 900 USD
5731,Porsche Cayenne,2011,4.8,Benzin,400.0,Avtomat,Tam,150200,25 900 USD
5732,BMW 528,2012,2.0,Benzin,245.0,Avtomat,Arxa,204000,25 500 AZN
5733,Audi A6,2013,3.0,Benzin,300.0,Avtomat,Arxa,201000,29 500 AZN
5734,Hyundai Elantra,2019,2.0,Benzin,150.0,Avtomat,Ön,27500,28 700 AZN
5735,Honda CR-V,2011,2.4,Benzin,180.0,Avtomat,Tam,242400,19 400 AZN
5736,Toyota Prius,2013,1.8,Hibrid,99.0,Variator,Ön,121000,20 900 AZN
5737,Audi A6,2017,2.0,Benzin,252.0,Avtomat,Tam,65000,34 000 USD
5738,Ford Transit,2008,2.4,Dizel,140.0,Mexaniki,Arxa,160000,30 900 AZN
5739,ZEEKR 009,2024,,Elektro,544.0,Reduktor,Tam,0,77 500 USD
5740,ZEEKR 009,2024,,Elektro,544.0,Reduktor,Tam,0,77 500 USD
5741,Chevrolet Cruze,2015,1.4,Benzin,140.0,Avtomat,Ön,249114,13 500 AZN
5742,ZEEKR 001,2024,,Elektro,272.0,Reduktor,Arxa,0,45 900 USD
5743,Kia Cerato,2017,2.0,Benzin,150.0,Avtomat,Ön,160900,19 800 AZN
5744,Lexus LX 570,2016,5.7,Benzin,383.0,Avtomat,Tam,120000,94 000 USD
5745,Mercedes G 63 AMG,2023,4.0,Benzin,585.0,Avtomat,Tam,0,285 000 USD
5746,Chevrolet Cruze,2014,1.4,Benzin,141.0,Avtomat,Ön,128890,15 900 AZN
5747,Toyota Camry,2008,2.4,Benzin,167.0,Avtomat,Ön,201000,21 900 AZN
5748,ZEEKR 001,2024,,Elektro,544.0,Reduktor,Tam,0,57 900 USD
5749,Chevrolet Orlando,2014,2.0,Dizel,170.0,Avtomat,Ön,266000,20 200 AZN
5750,Mercedes C 200,2000,2.0,Benzin,163.0,Avtomat,Arxa,260000,11 500 AZN
5751,ZEEKR X,2024,,Elektro,272.0,Reduktor,Arxa,0,34 900 USD
5752,Porsche Cayenne,2013,3.6,Benzin,300.0,Avtomat,Tam,148000,27 800 USD
5753,Hyundai Avante,2015,1.6,Dizel,132.0,Avtomat,Ön,127580,23 600 AZN
5754,BMW 530,2007,3.0,Benzin,258.0,Avtomat,Arxa,217000,18 400 AZN
5755,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Ön,195000,35 500 AZN
5756,Opel Astra,2005,1.4,Benzin,90.0,Mexaniki,Ön,290000,10 900 AZN
5757,BMW X5,2017,3.0,Benzin,340.0,Avtomat,Tam,94000,42 900 USD
5758,Nissan Sentra,2018,1.8,Benzin,130.0,Avtomat,Ön,55615,24 000 AZN
5759,Mercedes E 220 d,2006,2.2,Dizel,150.0,Avtomat,Arxa,287000,25 500 AZN
5760,Ford Fusion (North America),2014,1.5,Benzin,181.0,Avtomat,Ön,220000,17 500 AZN
5761,LADA (VAZ) Niva,2024,1.7,Benzin,83.0,Mexaniki,Tam,0,19 200 AZN
5762,Land Rover Range Rover,2019,3.0,Benzin,340.0,Avtomat,Ön,113400,84 500 USD
5763,LADA (VAZ) Niva,2013,1.7,Benzin,80.0,Mexaniki,Tam,176000,11 800 AZN
5764,Hyundai Santa Fe,2021,1.6,Hibrid,230.0,Avtomat,Ön,47000,31 200 USD
5765,Kia Optima,2013,2.4,Benzin,180.0,Avtomat,Ön,133000,23 800 AZN
5766,Hyundai Sonata,2020,1.6,Benzin,183.0,Avtomat,Ön,52677,39 800 AZN
5767,Toyota Land Cruiser Prado,2012,2.7,Benzin,163.0,Avtomat,Tam,99600,27 200 USD
5768,BMW 520,2021,2.0,Hibrid,190.0,Avtomat,Arxa,80000,42 500 USD
5769,Chevrolet Cruze,2009,1.8,Benzin,141.0,Avtomat,Ön,216000,10 000 AZN
5770,Ford Transit,1986,2.5,Dizel,76.0,Mexaniki,Ön,307000,7 900 AZN
5771,Mercedes E 300,2017,2.0,Benzin,245.0,Avtomat,Arxa,180000,48 000 AZN
5772,Mercedes Sprinter 315,2008,2.2,Dizel,150.0,Mexaniki,Arxa,270300,24 950 AZN
5773,BMW X5,2017,3.0,Benzin,340.0,Avtomat,Tam,94000,42 900 USD
5774,Nissan Sentra,2018,1.8,Benzin,130.0,Avtomat,Ön,55615,24 000 AZN
5775,Mercedes E 220 d,2006,2.2,Dizel,150.0,Avtomat,Arxa,287000,25 500 AZN
5776,Ford Fusion (North America),2014,1.5,Benzin,181.0,Avtomat,Ön,220000,17 500 AZN
5777,Mercedes E 200,1992,2.0,Dizel,75.0,Mexaniki,Arxa,350000,7 000 AZN
5778,Land Rover Range Rover,2021,3.0,Benzin,400.0,Avtomat,Tam,46000,127 000 USD
5779,Kia Soul,2018,1.6,Benzin,132.0,Avtomat,Ön,42000,23 500 AZN
5780,Ford Fusion (North America),2016,2.0,Plug-in Hibrid,245.0,Avtomat,Ön,109000,28 700 AZN
5781,Toyota Corolla,1998,1.6,Benzin,115.0,Mexaniki,Ön,570670,5 300 AZN
5782,Toyota Venza,2022,2.5,Hibrid,222.0,Avtomat,Tam,6000,45 900 USD
5783,Mitsubishi Pajero,2013,3.0,Benzin,188.0,Avtomat,Tam,211835,32 900 AZN
5784,Renault Megane,2011,1.5,Dizel,110.0,Mexaniki,Ön,227000,13 800 AZN
5785,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,283679,16 000 AZN
5786,Mercedes E 220 d,2004,2.2,Dizel,150.0,Avtomat,Arxa,499000,15 000 AZN
5787,GAZ 3110,1998,2.3,Benzin,131.0,Mexaniki,Arxa,346826,4 200 AZN
5788,BMW 328,2015,2.0,Benzin,245.0,Avtomat,Arxa,88000,36 500 AZN
5789,Mercedes 230 E,1969,2.3,Benzin,130.0,Avtomat,Arxa,75000,28 900 USD
5790,Changan Qiyuan A06,2024,1.5,Plug-in Hibrid,335.0,Avtomat,Ön,0,20 950 USD
5791,Hyundai Santa Fe,2007,2.2,Dizel,175.0,Avtomat,Tam,356000,19 750 AZN
5792,Land Rover RR Sport,2017,3.0,Benzin,340.0,Avtomat,Tam,56000,49 800 USD
5793,Hyundai Accent,2018,1.6,Benzin,140.0,Avtomat,Ön,135185,22 500 AZN
5794,Kia Forte,2014,1.8,Benzin,145.0,Avtomat,Ön,113454,18 900 AZN
5795,Hyundai Sonata,2017,2.0,Benzin,245.0,Avtomat,Ön,31365,26 300 AZN
5796,Toyota Land Cruiser,2008,4.0,Benzin,275.0,Avtomat,Tam,207000,25 500 USD
5797,Forthing T5 EVO,2024,1.5,Benzin,194.0,Avtomat,Ön,0,43 350 AZN
5798,LADA (VAZ) Largus,2022,1.6,Benzin,90.0,Mexaniki,Ön,0,25 500 AZN
5799,Hongqi HS5,2022,2.0,Benzin,225.0,Avtomat,Ön,0,43 900 AZN
5800,ZEEKR 001,2024,,Elektro,544.0,Reduktor,Tam,0,57 900 USD
5801,Mini Cooper,2014,2.0,Benzin,192.0,Avtomat,Ön,159000,22 500 AZN
5802,BMW 530,2017,2.0,Benzin,249.0,Avtomat,Arxa,101000,32 900 USD
5803,Chevrolet Cruze,2013,1.4,Benzin,141.0,Avtomat,Ön,115000,11 000 AZN
5804,Jeep Grand Cherokee,2014,3.6,Benzin,286.0,Avtomat,Tam,135000,28 800 USD
5805,Toyota Prius,2008,1.5,Hibrid,76.0,Variator,Ön,127045,14 800 AZN
5806,BMW 520,2014,2.0,Dizel,190.0,Avtomat,Tam,202000,21 000 USD
5807,BMW 328,2014,2.0,Benzin,245.0,Avtomat,Arxa,180000,27 000 AZN
5808,Hyundai Santa Fe,2021,1.6,Hibrid,230.0,Avtomat,Tam,48700,30 700 USD
5809,Toyota Land Cruiser,2008,4.0,Benzin,275.0,Avtomat,Tam,207000,25 500 USD
5810,Hyundai Accent,2011,1.4,Benzin,97.0,Avtomat,Ön,214000,16 500 AZN
5811,Chevrolet Aveo,2009,1.2,Benzin,72.0,Mexaniki,Ön,300000,7 200 AZN
5812,Honda Insight,2010,1.3,Hibrid,88.0,Variator,Ön,98000,12 500 AZN
5813,Ford Transit,2010,2.2,Dizel,125.0,Mexaniki,Ön,187691,17 800 AZN
5814,Hyundai Coupe,1997,2.0,Benzin,139.0,Mexaniki,Tam,234567,5 000 AZN
5815,Mercedes Sprinter 313,2009,2.2,Dizel,129.0,Mexaniki,Arxa,182000,29 000 AZN
5816,Toyota Crown,2023,2.5,Hibrid,218.0,Avtomat,Ön,0,59 000 USD
5817,Mercedes C 240,2000,2.6,Benzin,170.0,Avtomat,Arxa,355000,10 500 AZN
5818,Hyundai Elantra,2017,2.0,Benzin,150.0,Avtomat,Ön,42487,26 700 AZN
5819,Kia K3,2015,1.6,Benzin,132.0,Avtomat,Ön,138000,19 450 AZN
5820,Kia Sorento,2009,2.0,Dizel,184.0,Avtomat,Ön,189000,26 800 AZN
5821,Toyota Land Cruiser,2012,4.0,Benzin,282.0,Avtomat,Tam,136000,36 800 USD
5822,Kia K5,2022,2.5,Benzin,194.0,Avtomat,Ön,43000,53 500 AZN
5823,BMW 528,2016,2.0,Benzin,245.0,Avtomat,Arxa,162544,18 700 USD
5824,Hyundai Santa Fe,2013,2.4,Benzin,175.0,Avtomat,Tam,78000,31 500 AZN
5825,Iran Khodro Runna,2013,1.6,Benzin,110.0,Mexaniki,Ön,200000,6 300 AZN
5826,Hyundai ix35,2011,2.0,Benzin,163.0,Avtomat,Tam,268909,22 900 AZN
5827,Kia Cadenza,2011,3.5,Benzin,290.0,Avtomat,Ön,270000,20 900 AZN
5828,Hyundai Santa Fe,2014,2.4,Benzin,175.0,Avtomat,Tam,122000,30 200 AZN
5829,Toyota Corolla,2008,1.4,Dizel,90.0,Mexaniki,Ön,164000,18 300 AZN
5830,Fiat Fiorino,2022,1.3,Benzin,75.0,Mexaniki,Ön,54000,19 000 AZN
5831,Kia Rio,2006,1.5,Dizel,110.0,Mexaniki,Ön,215000,10 500 AZN
5832,Daewoo Gentra,2014,1.5,Benzin,107.0,Avtomat,Ön,246000,10 500 AZN
5833,Isuzu NPR 75 L,2023,5.1,Dizel,155.0,Mexaniki,Arxa,0,88 000 AZN
5834,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Ön,112998,33 900 AZN
5835,GAC Aion Y Plus,2023,,Elektro,136.0,Reduktor,Ön,0,36 000 AZN
5836,Volvo XC90,2023,2.0,Hibrid,254.0,Avtomat,Tam,0,71 633 EUR
5837,Volkswagen Touareg,2008,3.6,Benzin,280.0,Avtomat,Tam,184200,23 300 AZN
5838,Suzuki Grand Vitara,2006,2.7,Benzin,185.0,Avtomat,Tam,231782,7 000 AZN
5839,Hyundai Sonata,2022,2.0,Hibrid,192.0,Avtomat,Ön,17000,28 000 USD
5840,Land Rover RR Sport,2009,5.0,Benzin,375.0,Avtomat,Tam,179000,33 800 AZN
5841,BMW 528,1998,2.8,Benzin,193.0,Avtomat,Arxa,262000,9 300 AZN
5842,Mercedes E 220 d,2013,2.2,Dizel,170.0,Avtomat,Arxa,186000,35 000 AZN
5843,LADA (VAZ) 2110,2004,1.6,Benzin,80.0,Mexaniki,Ön,465328,4 400 AZN
5844,Audi A5,2017,2.0,Benzin,252.0,Avtomat,Ön,106000,26 900 USD
5845,Kia Cadenza,2011,3.5,Benzin,290.0,Avtomat,Ön,270000,20 900 AZN
5846,Hyundai Santa Fe,2014,2.4,Benzin,175.0,Avtomat,Tam,122000,30 200 AZN
5847,Toyota Corolla,2008,1.4,Dizel,90.0,Mexaniki,Ön,164000,18 300 AZN
5848,Fiat Fiorino,2022,1.3,Benzin,75.0,Mexaniki,Ön,54000,19 000 AZN
5849,Kia Rio,2006,1.5,Dizel,110.0,Mexaniki,Ön,215000,10 500 AZN
5850,Daewoo Gentra,2014,1.5,Benzin,107.0,Avtomat,Ön,246000,10 500 AZN
5851,Renault Megane,2006,1.5,Dizel,101.0,Mexaniki,Ön,327000,8 800 AZN
5852,Hyundai Accent,2007,1.4,Benzin,97.0,Avtomat,Ön,256896,4 200 AZN
5853,BMW 528,2014,2.0,Benzin,245.0,Avtomat,Tam,142000,30 800 AZN
5854,Mercedes GL 450 4MATIC,2015,3.0,Benzin,360.0,Avtomat,Tam,203000,36 000 USD
5855,Toyota Land Cruiser Prado,2009,4.0,Benzin,249.0,Avtomat,Tam,173000,39 500 AZN
5856,Infiniti Q50,2015,2.2,Dizel,170.0,Avtomat,Arxa,180000,19 000 USD
5857,Mercedes S 500,2014,4.7,Benzin,455.0,Avtomat,Arxa,134000,49 700 USD
5858,Honda Accord,2017,1.5,Benzin,192.0,Avtomat,Ön,86170,28 700 AZN
5859,Land Rover Defender,2023,3.0,Benzin,400.0,Avtomat,Tam,0,123 400 USD
5860,LADA (VAZ) 2106,1992,1.6,Benzin,75.0,Mexaniki,Arxa,26541,3 400 AZN
5861,Fiat Doblo,2014,1.4,Benzin,77.0,Mexaniki,Ön,386000,11 300 AZN
5862,Land Rover Range Rover,2016,3.0,Benzin,340.0,Avtomat,Tam,117000,62 000 USD
5863,Mercedes Sprinter 412,2004,2.2,Dizel,124.0,Mexaniki,Arxa,389000,24 800 AZN
5864,Opel Astra,2006,1.4,Benzin,90.0,Mexaniki,Ön,254000,12 400 AZN
5865,Hyundai Accent,2015,1.4,Benzin,107.0,Avtomat,Ön,141000,19 400 AZN
5866,Ford Transit,2008,2.4,Dizel,140.0,Mexaniki,Arxa,200000,23 500 AZN
5867,BMW X5,2006,3.0,Dizel,218.0,Avtomat,Tam,420000,26 000 AZN
5868,Hyundai Tucson,2014,2.0,Dizel,184.0,Avtomat,Tam,72400,28 700 AZN
5869,Chery Tiggo 2 Pro,2023,1.5,Benzin,109.0,Avtomat,Ön,0,29 900 AZN
5870,Renault Master,2021,2.3,Dizel,150.0,Mexaniki,Tam,2600,51 900 AZN
5871,Yamaha R15 V4,2024,0.2,Benzin,18.0,Mexaniki,Arxa,0,6 999 AZN
5872,Dodge Durango,2022,3.6,Benzin,295.0,Avtomat,Tam,0,68 700 USD
5873,Changan Uni-K,2022,2.0,Benzin,233.0,Avtomat,Tam,31000,54 500 AZN
5874,Toyota Land Cruiser Prado,2013,2.7,Benzin,163.0,Avtomat,Tam,198000,24 700 USD
5875,Toyota Avalon,2017,3.5,Benzin,268.0,Avtomat,Ön,85500,21 600 USD
5876,Land Rover Discovery Sport,2016,2.0,Benzin,240.0,Avtomat,Tam,98000,23 500 USD
5877,Haval H6,2022,2.0,Benzin,204.0,Avtomat,Tam,50000,39 000 AZN
5878,Ford Transit,2000,2.5,Dizel,76.0,Mexaniki,Arxa,390000,13 500 AZN
5879,Kia Sportage,2016,1.7,Dizel,141.0,Avtomat,Ön,123300,35 000 AZN
5880,Porsche Cayenne Turbo,2018,4.0,Benzin,550.0,Avtomat,Tam,52000,99 000 USD
5881,Mercedes Sprinter 412,2004,2.2,Dizel,124.0,Mexaniki,Arxa,389000,24 800 AZN
5882,Opel Astra,2006,1.4,Benzin,90.0,Mexaniki,Ön,254000,12 400 AZN
5883,Hyundai Accent,2015,1.4,Benzin,107.0,Avtomat,Ön,141000,19 400 AZN
5884,Ford Transit,2008,2.4,Dizel,140.0,Mexaniki,Arxa,200000,23 500 AZN
5885,BMW X5,2006,3.0,Dizel,218.0,Avtomat,Tam,420000,26 000 AZN
5886,Hyundai Tucson,2014,2.0,Dizel,184.0,Avtomat,Tam,72400,28 700 AZN
5887,Isuzu FVR 34 Q,2023,7.5,Dizel,240.0,Mexaniki,Arxa,0,115 000 AZN
5888,BMW 528,2015,2.0,Benzin,245.0,Avtomat,Arxa,135000,20 900 USD
5889,BMW 528,2014,2.0,Benzin,245.0,Avtomat,Arxa,168000,20 900 USD
5890,Kia Sorento,2010,2.0,Dizel,184.0,Avtomat,Ön,226000,27 400 AZN
5891,BMW 520,2015,2.0,Dizel,190.0,Avtomat,Tam,202000,35 000 AZN
5892,Kia Sorento,2011,2.0,Dizel,184.0,Avtomat,Ön,186464,27 900 AZN
5893,Kia Sorento,2013,2.0,Dizel,184.0,Avtomat,Ön,174324,31 800 AZN
5894,Hyundai Tucson,2017,1.6,Benzin,132.0,Avtomat,Ön,115000,27 600 AZN
5895,Skoda Rapid,2020,1.6,Benzin,140.0,Avtomat,Ön,18125,27 000 AZN
5896,Land Rover Defender,2024,2.0,Plug-in Hibrid,404.0,Avtomat,Tam,0,130 000 USD
5897,Lexus LX 570,2012,5.7,Benzin,383.0,Avtomat,Tam,43000,56 000 USD
5898,Mercedes Viano,2008,2.2,Dizel,150.0,Avtomat,Arxa,392150,35 700 AZN
5899,Kia Ceed,2007,1.6,Dizel,116.0,Mexaniki,Ön,261000,13 900 AZN
5900,LADA (VAZ) 2106,1999,1.6,Benzin,75.0,Mexaniki,Arxa,50000,3 950 AZN
5901,Hyundai Santa Fe,2015,2.0,Benzin,265.0,Avtomat,Tam,127000,31 700 AZN
5902,Kia Carnival,2019,2.2,Dizel,202.0,Avtomat,Ön,184000,45 400 AZN
5903,Toyota Land Cruiser,2024,3.5,Benzin,415.0,Avtomat,Tam,0,125 700 USD
5904,Toyota Prius,2008,1.5,Hibrid,76.0,Variator,Ön,153000,14 200 AZN
5905,Alfa Romeo Giulia,2022,2.0,Benzin,280.0,Avtomat,Tam,0,50 600 EUR
5906,Changan Qiyuan A05,2024,1.5,Plug-in Hibrid,190.0,Avtomat,Ön,0,17 400 USD
5907,Lexus LX 570,2012,5.7,Benzin,383.0,Avtomat,Tam,158000,43 900 USD
5908,Volvo XC60,2023,2.0,Plug-in Hibrid,455.0,Avtomat,Tam,0,60 752 EUR
5909,Kia Forte,2020,2.0,Benzin,147.0,Avtomat,Ön,39000,25 900 AZN
5910,Volkswagen ID.4,2023,,Elektro,204.0,Reduktor,Arxa,0,31 100 USD
5911,BMW 730,2012,3.0,Dizel,258.0,Avtomat,Arxa,98000,31 000 USD
5912,Toyota Land Cruiser,2011,4.0,Benzin,243.0,Avtomat,Tam,204000,29 900 USD
5913,Kia Sportage,2011,2.0,Benzin,150.0,Avtomat,Tam,181000,24 000 AZN
5914,Hyundai Sonata,2012,2.0,Benzin,150.0,Avtomat,Ön,191512,19 800 AZN
5915,BMW X5,2022,3.0,Benzin,340.0,Avtomat,Tam,25000,82 000 USD
5916,Hyundai Elantra,2014,1.8,Benzin,150.0,Avtomat,Ön,91000,21 500 AZN
5917,Toyota Prius,2008,1.5,Hibrid,76.0,Variator,Ön,153000,14 200 AZN
5918,Porsche Cayenne,2012,3.6,Benzin,300.0,Avtomat,Arxa,112000,50 000 AZN
5919,LADA (VAZ) Vesta Cross,2019,1.6,Benzin,106.0,Mexaniki,Ön,100000,19 500 AZN
5920,Toyota Corolla,2006,1.4,Dizel,90.0,Mexaniki,Ön,223208,16 300 AZN
5921,Chevrolet Trax,2015,1.4,Benzin,140.0,Avtomat,Tam,140000,17 900 AZN
5922,Land Rover Range Rover,2023,4.4,Benzin,615.0,Avtomat,Tam,0,289 500 USD
5923,BMW 328,2013,2.0,Benzin,246.0,Avtomat,Arxa,210000,27 800 AZN
5924,VGV U70 Pro,2024,1.5,Benzin,156.0,Avtomat,Ön,0,35 500 AZN
5925,Land Rover Range Rover,2023,3.0,Benzin,400.0,Avtomat,Tam,0,207 500 USD
5926,Chevrolet Malibu,2019,1.5,Benzin,160.0,Avtomat,Ön,81000,23 800 AZN
5927,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,145000,14 900 AZN
5928,Hyundai Santa Fe,2017,2.4,Benzin,171.0,Avtomat,Tam,236000,35 000 AZN
5929,BMW 520,2011,2.0,Dizel,184.0,Avtomat,Arxa,266000,17 500 USD
5930,Toyota Camry,2020,2.5,Benzin,200.0,Avtomat,Ön,25000,31 700 USD
5931,Hyundai Santa Fe,2017,2.0,Benzin,265.0,Avtomat,Ön,104500,36 000 AZN
5932,GWM Tank 500,2023,2.0,Hibrid,350.0,Avtomat,Tam,0,87 900 AZN
5933,Mercedes E 220,1993,2.2,Benzin,150.0,Avtomat,Arxa,389652,5 900 AZN
5934,Opel Astra,1998,2.0,Benzin,116.0,Avtomat,Ön,267000,7 500 AZN
5935,Toyota Prius C,2015,1.5,Hibrid,73.0,Variator,Ön,32200,18 800 AZN
5936,Opel Vectra,1996,2.0,Benzin,136.0,Avtomat,Ön,400000,6 200 AZN
5937,Chevrolet Equinox,2020,1.5,Benzin,170.0,Avtomat,Tam,73000,30 900 AZN
5938,Nissan Juke,2014,1.6,Benzin,117.0,Variator,Ön,115000,23 900 AZN
5939,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,204000,13 900 AZN
5940,BMW 320,2014,2.0,Dizel,184.0,Avtomat,Arxa,131000,29 800 AZN
5941,Kia Sportage,2023,1.6,Hibrid,237.0,Avtomat,Tam,0,67 400 AZN
5942,BMW 740,2023,3.0,Benzin,381.0,Avtomat,Tam,11000,160 000 USD
5943,MG RX8,2022,2.0,Benzin,225.0,Avtomat,Tam,0,59 900 AZN
5944,Toyota Land Cruiser,2012,4.0,Benzin,282.0,Avtomat,Tam,161000,36 500 USD
5945,Nissan Note,2014,1.2,Benzin,79.0,Avtomat,Ön,38861,14 500 AZN
5946,Hyundai Elantra,2017,2.0,Benzin,150.0,Avtomat,Ön,130357,24 400 AZN
5947,Chevrolet Cruze,2009,1.8,Benzin,141.0,Avtomat,Ön,216000,10 000 AZN
5948,Mitsubishi Pajero,2006,3.0,Benzin,188.0,Avtomat,Tam,160000,17 500 AZN
5949,Nissan X-Trail,2021,2.0,Benzin,144.0,Variator,Ön,36000,42 000 AZN
5950,Jeep Grand Cherokee,2014,3.6,Benzin,286.0,Avtomat,Tam,190600,45 000 AZN
5951,Mercedes E 250,2015,2.2,Dizel,204.0,Avtomat,Tam,182000,23 500 USD
5952,Mercedes E 200 d,2017,2.0,Dizel,150.0,Avtomat,Arxa,82000,65 000 AZN
5953,Opel Vectra,1996,2.0,Benzin,136.0,Avtomat,Ön,400000,6 200 AZN
5954,Chevrolet Equinox,2020,1.5,Benzin,170.0,Avtomat,Tam,73000,30 900 AZN
5955,Nissan Juke,2014,1.6,Benzin,117.0,Variator,Ön,115000,23 900 AZN
5956,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,204000,13 900 AZN
5957,BMW 320,2014,2.0,Dizel,184.0,Avtomat,Arxa,131000,29 800 AZN
5958,Mercedes CLA 250,2014,2.0,Benzin,211.0,Avtomat,Ön,108000,20 000 USD
5959,Jaguar I-Pace,2023,,Elektro,400.0,Reduktor,Tam,0,109 700 USD
5960,LADA (VAZ) 2106,2001,1.6,Benzin,75.0,Mexaniki,Arxa,90000,6 700 AZN
5961,Jaguar I-Pace,2023,,Elektro,400.0,Reduktor,Tam,0,107 900 USD
5962,Jeep Wrangler,2018,2.0,Benzin,272.0,Avtomat,Tam,110000,39 000 USD
5963,Hyundai Sonata,2010,2.4,Benzin,178.0,Avtomat,Ön,234000,21 500 AZN
5964,Kia Rio,2011,1.4,Benzin,107.0,Avtomat,Ön,141000,16 900 AZN
5965,Changan CS 75 Plus,2020,2.0,Benzin,233.0,Avtomat,Tam,61000,39 900 AZN
5966,Ford Transit,2006,2.2,Dizel,130.0,Mexaniki,Ön,211000,17 900 AZN
5967,Chevrolet Lacetti,2007,1.6,Benzin,109.0,Avtomat,Ön,320000,9 100 AZN
5968,Jaguar F-Pace,2023,2.0,Plug-in Hibrid,404.0,Avtomat,Tam,0,96 400 USD
5969,BMW 520,1990,2.0,Benzin,150.0,Mexaniki,Arxa,288000,5 500 AZN
5970,Hyundai Santa Fe,2013,2.0,Dizel,184.0,Avtomat,Tam,192300,32 200 AZN
5971,Land Rover Range Rover,2014,3.0,Benzin,340.0,Avtomat,Tam,89000,53 900 USD
5972,Jaguar F-Pace,2023,2.0,Plug-in Hibrid,404.0,Avtomat,Tam,0,96 400 USD
5973,Kia Rio,2006,1.5,Dizel,110.0,Mexaniki,Ön,309000,11 000 AZN
5974,Jaguar I-Pace,2023,,Elektro,400.0,Reduktor,Tam,0,109 200 USD
5975,Mercedes S 500,2014,4.7,Benzin,408.0,Avtomat,Arxa,104000,48 500 USD
5976,GAZ 24,1976,2.4,Benzin,75.0,Mexaniki,Arxa,200000,5 200 AZN
